Received at: 2019-04-03 16:27:28.274446 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.290380 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.290429 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.306380 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.306429 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.322375 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.338353 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.354348 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.354398 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.370382 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.370463 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.386361 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.386433 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.402314 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.418302 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.434273 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.434325 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.450294 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.450348 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.466266 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.466315 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.482258 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:28.498237 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.514225 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.514274 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.530218 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:28.530267 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.546227 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.546278 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.562223 ['60', 'FF', 'C2', '80', 'B8', '80', '84', '80', 'A2']
Received at: 2019-04-03 16:27:28.578183 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.594157 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.594211 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.610173 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.610224 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.626173 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.626223 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.642144 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.658132 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.674112 ['60', 'FF', 'C2', '80', 'BB', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:28.674166 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.690134 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.690184 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:27:28.706103 ['60', 'FF', 'C2', '80', 'BA', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.706152 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
