Received at: 2019-04-03 17:11:13.545608 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.561554 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.577560 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.577613 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.593548 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.593605 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.609569 ['60', 'FF', 'C0', '80', 'BB', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.625481 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.625541 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.641508 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.657489 ['60', 'FF', 'C0', '80', 'BD', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.657542 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.673466 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.673533 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:11:13.689464 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.705438 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.705519 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.721441 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.737416 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.737470 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.753415 ['60', 'FF', 'C0', '80', 'BC', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.753468 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.769389 ['60', 'FF', 'C0', '80', 'BB', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.785353 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.785406 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.801405 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.817380 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:13.817442 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.833343 ['60', 'FF', 'C0', '80', 'B8', '80', '84', '80', 'A4']
Received at: 2019-04-03 17:11:13.833396 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.849343 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:13.849395 ['61', '90', '80', 'C0', 'A0', '80', '80', '86', 'A8']
