Received at: 2019-04-03 17:20:27.896871 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.896955 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.912881 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.928887 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.928946 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.944862 ['60', 'C1', 'BF', '80', '81', '80', '84', '80', '9A']
Received at: 2019-04-03 17:20:27.944919 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.960857 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.976795 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.976850 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.992800 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.008848 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.008927 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.024801 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.024861 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.040765 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.056721 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.056774 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.072725 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.088717 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.088774 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.104753 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.104834 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.120731 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.136660 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.136751 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.152667 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.168653 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.168715 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.184628 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.184685 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.200652 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.216585 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.216647 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.232586 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.248594 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.248650 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.264564 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.264616 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.280564 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.296503 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.296554 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.312576 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.328527 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.328586 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.344555 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.344635 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.360531 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.376444 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
