Received at: 2019-04-03 17:10:33.836715 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.836807 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.852663 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.868679 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.884619 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.884674 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.900644 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.900696 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.916620 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.916673 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.932613 ['60', '80', 'C1', '80', '84', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:33.948632 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.964591 ['60', '80', 'C1', '80', '84', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:33.964659 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.980597 ['60', '80', 'C1', '80', '85', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:33.980650 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:33.996588 ['60', '80', 'C1', '80', '85', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:33.996649 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.012569 ['60', '80', 'C1', '80', '85', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:34.028554 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.044549 ['60', '80', 'C1', '80', '85', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:34.044603 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.060572 ['60', '80', 'C1', '80', '85', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:34.060625 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.076594 ['60', '80', 'C1', '80', '86', '80', '84', '80', 'D4']
Received at: 2019-04-03 17:10:34.076661 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.092494 ['60', '80', 'C1', '80', '86', '80', '84', '80', 'D4']
Received at: 2019-04-03 17:10:34.108485 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.124445 ['60', '80', 'C1', '80', '86', '80', '84', '80', 'D4']
Received at: 2019-04-03 17:10:34.124498 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.140475 ['60', '80', 'C1', '80', '87', '80', '84', '80', 'D3']
Received at: 2019-04-03 17:10:34.140528 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.156451 ['60', '80', 'C1', '80', '87', '80', '84', '80', 'D3']
Received at: 2019-04-03 17:10:34.156504 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.172440 ['60', '80', 'C1', '80', '87', '80', '84', '80', 'D3']
Received at: 2019-04-03 17:10:34.188409 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.204373 ['60', '80', 'C1', '80', '87', '80', '84', '80', 'D3']
Received at: 2019-04-03 17:10:34.204425 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 17:10:34.220380 ['60', '80', 'C1', '80', '87', '80', '84', '80', 'D3']
Received at: 2019-04-03 17:10:34.220435 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.236353 ['60', '80', 'C2', '80', '80', '80', '84', '80', 'D9']
Received at: 2019-04-03 17:10:34.236466 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.252350 ['60', '80', 'C2', '80', '80', '80', '84', '80', 'D9']
Received at: 2019-04-03 17:10:34.268335 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.284301 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.284355 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.300304 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.300355 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.316306 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.316358 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.332279 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.348296 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.364274 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.364359 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.380265 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.380330 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.396249 ['60', '80', 'C2', '80', '80', '80', '84', '80', 'D9']
Received at: 2019-04-03 17:10:34.396314 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.412230 ['60', '80', 'C2', '80', '80', '80', '84', '80', 'D9']
Received at: 2019-04-03 17:10:34.428165 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.444168 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.444222 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.460170 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.460221 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.476207 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.476289 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.492141 ['60', '80', 'C2', '80', '83', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:34.508118 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.524089 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.524141 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7']
Received at: 2019-04-03 17:10:34.540132 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.540197 ['61', '92', '80', 'C0', 'A0', '80', '80', '85', 'A7', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:10:34.556097 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.556149 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.572129 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.588050 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.604041 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.604094 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.620038 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.620089 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.636050 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.636128 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.652011 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.667991 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.683958 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.684014 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.699990 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.700043 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.715980 ['60', '80', 'C2', '80', '82', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.716033 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
