Received at: 2019-04-03 16:17:27.907860 ['60', 'B9', '88', '80', '9E', '80', '84', '80', 'BC']
Received at: 2019-04-03 16:17:27.907921 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.923856 ['60', 'B9', '88', '80', '9E', '80', '84', '80', 'BC']
Received at: 2019-04-03 16:17:27.939812 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.939868 ['60', 'B9', '88', '80', '9F', '80', '84', '80', 'BB']
Received at: 2019-04-03 16:17:27.955816 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.971825 ['60', 'B9', '89', '80', 'A0', '80', '84', '80', 'B9']
Received at: 2019-04-03 16:17:27.971876 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.987802 ['60', 'B9', '8B', '80', 'BC', '80', '84', '80', '9B']
Received at: 2019-04-03 16:17:27.987854 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:28.003801 ['60', 'BB', '92', '80', 'A1', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:17:28.019742 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:28.019793 ['60', 'BF', '9E', '80', 'AE', '80', '84', '80', '90']
Received at: 2019-04-03 16:17:28.035774 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:28.051757 ['60', 'C2', 'AF', '80', 'A3', '80', '84', '80', '87']
Received at: 2019-04-03 16:17:28.051808 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:28.067759 ['60', 'C1', 'BC', '80', 'B5', '80', '84', '80', 'E9']
Received at: 2019-04-03 16:17:28.067810 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:28.083760 ['60', 'C1', 'BE', '80', 'AA', '80', '84', '80', 'F2']
Received at: 2019-04-03 16:17:28.099700 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:28.099751 ['60', 'C1', 'BE', '80', 'A3', '80', '84', '80', 'F9']
Received at: 2019-04-03 16:17:28.115748 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 16:17:28.131715 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.131766 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:28.147715 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:17:28.147766 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:28.163693 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.179662 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:28.179717 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.195696 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:28.211673 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.211725 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:28.227676 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.227727 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:28.243677 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.259616 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.259666 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.275693 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.291662 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.291741 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.307643 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.307701 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.323621 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.339578 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.339632 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.355586 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:28.371589 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.371643 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.387568 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
