Received at: 2019-04-02 16:07:42.676603 ['60', 'C2', 'A7', '80', 'AD', '80', '84', '80', '85']
Received at: 2019-04-02 16:07:42.692538 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.692589 ['60', 'C2', 'A7', '80', 'B2', '80', '84', '80', '80']
Received at: 2019-04-02 16:07:42.708549 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.724554 ['60', 'C2', 'A6', '80', 'B5', '80', '84', '80', 'FE']
Received at: 2019-04-02 16:07:42.724606 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.740532 ['60', 'C2', 'A5', '80', 'A7', '80', '84', '80', '8D']
Received at: 2019-04-02 16:07:42.740583 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.756533 ['60', 'C2', 'A5', '80', '92', '80', '84', '80', 'A2']
Received at: 2019-04-02 16:07:42.772480 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.772530 ['60', 'C2', 'A5', '80', '82', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:42.788509 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.804490 ['60', 'C1', 'A5', '80', 'B3', '80', '84', '80', '82']
Received at: 2019-04-02 16:07:42.804541 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.820489 ['60', 'C1', 'A5', '80', 'A3', '80', '84', '80', '92']
Received at: 2019-04-02 16:07:42.820539 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.836489 ['60', 'C1', 'A5', '80', '9A', '80', '84', '80', '9B']
Received at: 2019-04-02 16:07:42.852430 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-02 16:07:42.852481 ['60', 'C1', 'A5', '80', '9A', '80', '84', '80', '9B']
Received at: 2019-04-02 16:07:42.868467 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.884446 ['60', 'C1', 'A4', '80', '95', '80', '84', '80', 'A1']
Received at: 2019-04-02 16:07:42.884496 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.900447 ['60', 'C1', 'A2', '80', '97', '80', '84', '80', 'A1']
Received at: 2019-04-02 16:07:42.900498 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.916427 ['60', 'C1', 'A1', '80', '91', '80', '84', '80', 'A8']
Received at: 2019-04-02 16:07:42.932390 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.932442 ['60', 'C1', '9F', '80', '94', '80', '84', '80', 'A7']
Received at: 2019-04-02 16:07:42.948420 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.964403 ['60', 'C1', '9E', '80', '91', '80', '84', '80', 'AB']
Received at: 2019-04-02 16:07:42.964453 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.980404 ['60', 'C1', '9D', '80', '94', '80', '84', '80', 'A9']
Received at: 2019-04-02 16:07:42.980455 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:42.996404 ['60', 'C1', '9D', '80', '9C', '80', '84', '80', 'A1']
