Received at: 2019-04-03 16:22:16.056885 ['60', 'C0', 'BF', '80', 'BC', '80', '84', '80', 'E0']
Received at: 2019-04-03 16:22:16.056938 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:16.072819 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.072871 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:16.088820 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.088871 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:16.104791 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.120785 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:16.136763 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.136815 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:16.152775 ['60', 'C1', 'BF', '80', '83', '80', '84', '80', '98']
Received at: 2019-04-03 16:22:16.152826 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:16.168776 ['60', 'C0', 'BF', '80', 'BA', '80', '84', '80', 'E2']
Received at: 2019-04-03 16:22:16.168827 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:16.184746 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.200740 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:16.216723 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.216775 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:16.232730 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.232782 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:16.248706 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
Received at: 2019-04-03 16:22:16.248757 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:16.264705 ['60', 'C1', 'BF', '80', '83', '80', '84', '80', '98']
Received at: 2019-04-03 16:22:16.280697 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:16.296673 ['60', 'C0', 'BF', '80', 'BA', '80', '84', '80', 'E2']
Received at: 2019-04-03 16:22:16.296724 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:16.312731 ['60', 'C0', 'BF', '80', 'BB', '80', '84', '80', 'E1']
